Sample.ID No.ORFs Average_length_bp No_complete_ORFs Percent_complete_ORFs No_fragmental_ORFs Percent_fragmental_ORFs 
MH0001 26,953 642 9,628 35.72 17,325 64.28 
MH0002 125,165 613 43,569 34.81 81,596 65.19 
MH0003 148,803 699 63,829 42.89 84,974 57.11 
MH0004 42,407 656 14,401 33.96 28,006 66.04 
MH0005 25,817 675 9,036 35.00 16,781 65.00 
MH0006 286,373 666 111,390 38.90 174,983 61.10 
MH0007 48,189 583 12,977 26.93 35,212 73.07 
MH0008 50,568 646 17,961 35.52 32,607 64.48 
MH0009 148,232 658 61,414 41.43 86,818 58.57 
MH0010 46,365 695 16,148 34.83 30,217 65.17 
MH0011 176,165 662 70,159 39.83 106,006 60.17 
MH0012 305,090 679 130,932 42.92 174,158 57.08 
MH0013 42,940 652 17,238 40.14 25,702 59.86 
MH0014 148,583 706 67,551 45.46 81,032 54.54 
MH0015 46,940 646 15,567 33.16 31,373 66.84 
MH0016 140,136 708 61,436 43.84 78,700 56.16 
MH0017 45,651 655 15,446 33.83 30,205 66.17 
MH0018 23,198 664 7,842 33.80 15,356 66.20 
MH0019 54,726 675 19,984 36.52 34,742 63.48 
MH0020 113,474 749 57,530 50.70 55,944 49.30 
MH0021 98,576 619 31,137 31.59 67,439 68.41 
MH0022 40,092 648 13,638 34.02 26,454 65.98 
MH0023 32,786 683 13,750 41.94 19,036 58.06 
MH0024 76,889 610 23,900 31.08 52,989 68.92 
MH0025 150,162 642 55,644 37.06 94,518 62.94 
MH0026 82,651 731 41,390 50.08 41,261 49.92 
MH0027 30,170 575 6,342 21.02 23,828 78.98 
MH0028 131,576 694 56,516 42.95 75,060 57.05 
MH0030 84,874 675 37,905 44.66 46,969 55.34 
MH0031 102,769 638 38,113 37.09 64,656 62.91 
MH0032 74,382 630 27,259 36.65 47,123 63.35 
MH0033 131,550 671 55,397 42.11 76,153 57.89 
MH0034 50,355 642 19,711 39.14 30,644 60.86 
MH0035 136,131 659 51,188 37.60 84,943 62.40 
MH0036 121,152 678 48,173 39.76 72,979 60.24 
MH0037 103,128 670 42,830 41.53 60,298 58.47 
MH0038 112,073 703 49,394 44.07 62,679 55.93 
MH0039 136,058 663 51,819 38.09 84,239 61.91 
MH0040 148,102 678 58,437 39.46 89,665 60.54 
MH0041 116,738 683 48,757 41.77 67,981 58.23 
MH0042 122,426 639 46,948 38.35 75,478 61.65 
MH0043 148,817 635 58,060 39.01 90,757 60.99 
MH0044 116,106 719 56,018 48.25 60,088 51.75 
MH0045 126,089 654 45,612 36.17 80,477 63.83 
MH0046 103,499 685 40,886 39.50 62,613 60.50 
MH0047 62,694 608 18,171 28.98 44,523 71.02 
MH0048 85,939 605 25,996 30.25 59,943 69.75 
MH0049 60,622 686 24,732 40.80 35,890 59.20 
MH0050 143,875 656 54,717 38.03 89,158 61.97 
MH0051 88,456 639 28,642 32.38 59,814 67.62 
MH0052 97,090 633 32,176 33.14 64,914 66.86 
MH0053 111,733 676 47,518 42.53 64,215 57.47 
MH0054 128,550 697 55,568 43.23 72,982 56.77 
MH0055 131,643 685 55,739 42.34 75,904 57.66 
MH0056 133,176 624 43,738 32.84 89,438 67.16 
MH0057 88,567 697 37,964 42.86 50,603 57.14 
MH0058 151,512 663 57,544 37.98 93,968 62.02 
MH0059 160,668 671 63,106 39.28 97,562 60.72 
MH0060 123,934 653 45,801 36.96 78,133 63.04 
MH0061 88,369 712 42,577 48.18 45,792 51.82 
MH0062 118,425 666 45,459 38.39 72,966 61.61 
MH0063 113,469 640 45,151 39.79 68,318 60.21 
MH0064 112,407 661 44,667 39.74 67,740 60.26 
MH0065 140,752 647 55,470 39.41 85,282 60.59 
MH0066 119,279 679 49,353 41.38 69,926 58.62 
MH0067 109,111 761 57,553 52.75 51,558 47.25 
MH0068 101,942 706 46,641 45.75 55,301 54.25 
MH0069 159,490 640 60,084 37.67 99,406 62.33 
MH0070 149,652 656 59,730 39.91 89,922 60.09 
MH0071 116,441 681 50,735 43.57 65,706 56.43 
MH0072 100,344 634 35,870 35.75 64,474 64.25 
MH0073 113,509 666 43,560 38.38 69,949 61.62 
MH0074 111,740 745 56,905 50.93 54,835 49.07 
MH0075 136,521 663 52,612 38.54 83,909 61.46 
MH0076 109,477 643 38,622 35.28 70,855 64.72 
MH0077 151,491 620 53,714 35.46 97,777 64.54 
MH0078 41,852 615 14,845 35.47 27,007 64.53 
MH0079 91,926 603 31,462 34.23 60,464 65.77 
MH0080 153,127 660 58,112 37.95 95,015 62.05 
MH0081 147,079 642 55,132 37.48 91,947 62.52 
MH0082 153,163 656 60,893 39.76 92,270 60.24 
MH0083 139,100 674 56,663 40.74 82,437 59.26 
MH0084 65,841 657 25,706 39.04 40,135 60.96 
MH0085 103,668 721 45,313 43.71 58,355 56.29 
MH0086 189,088 685 79,299 41.94 109,789 58.06 
O2.UC-1 96,512 623 34,228 35.47 62,284 64.53 
O2.UC-11 71,353 600 25,604 35.88 45,749 64.12 
O2.UC-12 98,964 654 40,906 41.33 58,058 58.67 
O2.UC-13 120,394 681 53,386 44.34 67,008 55.66 
O2.UC-14 54,131 627 21,850 40.37 32,281 59.63 
O2.UC-16 46,037 629 16,064 34.89 29,973 65.11 
O2.UC-17 57,242 612 18,924 33.06 38,318 66.94 
O2.UC-18 89,842 713 43,701 48.64 46,141 51.36 
O2.UC-19 119,324 674 47,238 39.59 72,086 60.41 
O2.UC-20 111,230 652 40,383 36.31 70,847 63.69 
O2.UC-21 67,129 618 20,422 30.42 46,707 69.58 
O2.UC-22 129,995 669 48,544 37.34 81,451 62.66 
O2.UC-23 88,756 655 32,357 36.46 56,399 63.54 
O2.UC-24 98,619 672 40,044 40.60 58,575 59.40 
